date|account|category|amount|currency|converted amount|currency|description||||
14/03/2018|Cash|Car|-61.21|MYR|-61.21|MYR|Petrol||||
14/03/2018|Cash|Eating out|-9|MYR|-9|MYR|Lunch (fried rice) ||||
14/03/2018|Cash|Car|-5|MYR|-5|MYR|Parking|||Row Labels|Count of description
15/03/2018|Cash|Car|-5|MYR|-5|MYR|Parking|||Accommodation (Ariff) |1
15/03/2018|Cash|Car|-2|MYR|-2|MYR|Toll back|||Accommodation (Cm) |1
15/03/2018|Cash|Eating out|-15|MYR|-15|MYR|Go noodles lunch|||Accommodation (Enin)|1
16/03/2018|Cash|Eating out|-20.8|MYR|-20.8|MYR|Mamak with seraya |||Accommodation (Rachel) |1
17/03/2018|Cash|Eating out|-6.2|MYR|-6.2|MYR|Lunch (chicken rice) |||Accommodation (wx) |1
19/03/2018|Cash|Car|-5|MYR|-5|MYR|Parking|||Airbnb dec|1
19/03/2018|Cash|Eating out|-10|MYR|-10|MYR|Lunch with tony (ninjajoe) |||Alcohol|4
19/03/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Alita|1
20/03/2018|Cash|Car|-5|MYR|-5|MYR|Parking|||Allergy|1
20/03/2018|Cash|Eating out|-9.2|MYR|-9.2|MYR|Banana with tony |||Andrew |2
20/03/2018|Cash|Eating out|-12.5|MYR|-12.5|MYR|Texas with kk kv ken|||Andrew + Ray |1
21/03/2018|Cash|Car|-69|MYR|-69|MYR|Petrol|||Angpau|6
21/03/2018|Cash|Car|-5|MYR|-5|MYR|Parking |||Angpau |2
21/03/2018|Cash|Eating out|-7.7|MYR|-7.7|MYR|Lunch (panmee ) |||Ankle guards |1
21/03/2018|Cash|Eating out|-5.4|MYR|-5.4|MYR|Dinner mamak|||Ant man|1
22/03/2018|Cash|Car|-5|MYR|-5|MYR|Parking |||Arduino|1
22/03/2018|Cash|Eating out|-20.4|MYR|-20.4|MYR|Lunch (wong kok) |||Arduino |4
22/03/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner chicken rice |||Ariff |1
23/03/2018|Cash|Eating out|-10.2|MYR|-10.2|MYR|Dinner mamak|||Ariff ebook|1
23/03/2018|Cash|Eating out|-12.5|MYR|-12.5|MYR|Lunch (mamak) |||Audio splitter |1
25/03/2018|Cash|Eating out|-2.3|MYR|-2.3|MYR|Lunch teh ais|||Badminton |1
26/03/2018|Cash|Eating out|-11.1|MYR|-11.1|MYR|Lunch (rib King) |||Bag|2
26/03/2018|Cash|Eating out|-8|MYR|-8|MYR|Dinner mamak|||Bali currency|1
26/03/2018|Cash|Car|-5|MYR|-5|MYR|Parking |||Banana with tony |1
26/03/2018|Cash|Salary|185|MYR|185|MYR|Shuhui March |||Band-aid|1
27/03/2018|Cash|Eating out|-16|MYR|-16|MYR|Nandos|||Bank Islam deposit |1
27/03/2018|Cash|Communications|-200|MYR|-200|MYR|Phone screen |||Bank islam parking|2
27/03/2018|Cash|Communications|-35|MYR|-35|MYR|Screen protector |||Basketball |1
27/03/2018|Cash|Car|-6|MYR|-6|MYR|Lowyat parking |||Basketball shoes|2
27/03/2018|Cash|Eating out|-11.9|MYR|-11.9|MYR|Dinner subway|||Bball arcade|1
28/03/2018|Cash|Eating out|-12|MYR|-12|MYR|Lunch (mcd) |||Bball Shoes |3
28/03/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak|||Bbq|1
28/03/2018|Cash|Car|-65.5|MYR|-65.5|MYR|Petrol|||Beer|1
28/03/2018|Cash|"Salary,""3"|"090.85"",MYR,""3"|"090.85"",MYR"|Salary |||||Black whale|1
29/03/2018|Cash|Tech|-145.5|MYR|-145.5|MYR|Wifi|||Blinds |1
29/03/2018|Cash|Car|-5|MYR|-5|MYR|Parking|||Board games|4
29/03/2018|Cash|Eating out|-16.9|MYR|-16.9|MYR|Lunch (kfc) |||Bob|3
29/03/2018|Cash|Books|-35.9|MYR|-35.9|MYR|Tuition books|||Bob + ck|3
30/03/2018|Cash|Car|-5|MYR|-5|MYR|Parking|||Book |1
30/03/2018|Cash|Eating out|-8.2|MYR|-8.2|MYR|Lunch (zap fan) |||Booze party|1
30/03/2018|Cash|Food|-3.7|MYR|-3.7|MYR|Dinner kkmart|||Borderlands |1
31/03/2018|Cash|Tech|-171.85|MYR|-171.85|MYR|Wifi|||Bottle |1
1/4/2018|Cash|Tech|-145.5|MYR|-145.5|MYR|Wifi|||Bowling |1
2/4/2018|Cash|Car|-80|MYR|-80|MYR|Parking |||BR1M|1
2/4/2018|Cash|Eating out|-10|MYR|-10|MYR|Lunch (ninjajoe) |||Bread|3
2/4/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak zapfan|||Bread |2
3/4/2018|Cash|Eating out|-10.1|MYR|-10.1|MYR|Lunch (mamak) |||Breakfast (168)|1
3/4/2018|Cash|Eating out|-30.1|MYR|-30.1|MYR|Dinner phostreet|||Breakfast (bread) |1
3/4/2018|Cash|Movie|-11|MYR|-11|MYR|Ready Player One|||Breakfast (burger King) |3
4/4/2018|Cash|Salary|170|MYR|170|MYR|Tuition (Chunyong Hong kai) |||Breakfast (chicken rice) |1
4/4/2018|Cash|Eating out|-14.5|MYR|-14.5|MYR|Lunch (texas) |||Breakfast (chipsmore) |1
5/4/2018|Cash|Allowance|-150|MYR|-150|MYR|Mom|||Breakfast (drinks) |2
5/4/2018|Cash|Eating out|-22.3|MYR|-22.3|MYR|Lunch (mamak) |||Breakfast (horlicks) |1
5/4/2018|Cash|Clothes|-99|MYR|-99|MYR|Shoes |||Breakfast (Maggie) |1
5/4/2018|Cash|Car|-2|MYR|-2|MYR|My town parking |||Breakfast (mamak) |1
5/4/2018|Cash|Books|-3.5|MYR|-3.5|MYR|Book |||Breakfast (mcd) |4
6/4/2018|Cash|Eating out|-6|MYR|-6|MYR|Lunch (zap fan) |||Breakfast (new hollywood) |1
6/4/2018|Cash|Car|-100|MYR|-100|MYR|Touch & Go|||Breakfast (noodles) |5
6/4/2018|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify|||Breakfast (twiggies) |1
7/4/2018|Cash|Deposits|100|MYR|100|MYR|Graduation ticket|||Breakfast (wantan mee) |1
7/4/2018|Cash|Eating out|-12.4|MYR|-12.4|MYR|Lunch (chicken rice) |||Breakfast doughnuts|1
7/4/2018|Cash|Eating out|-26.5|MYR|-26.5|MYR|Dinner oregi|||Broga trip|3
7/4/2018|Cash|Books|-45|MYR|-45|MYR|Graduation photo|||Bumper bracket|1
9/4/2018|Cash|Communications|-30|MYR|-30|MYR|Reload |||Bus to kl sentral |2
9/4/2018|Cash|Eating out|-8.6|MYR|-8.6|MYR|Lunch (toast and roast) |||Bus to klia|3
10/4/2018|Cash|Car|-10|MYR|-10|MYR|Petrol|||Cable |2
11/4/2018|Cash|Eating out|-16.4|MYR|-16.4|MYR|Lunch (korean) |||Cake |1
11/4/2018|Cash|Car|-62.8|MYR|-62.8|MYR|Petrol|||Can you keep a Secret |1
11/4/2018|Cash|Eating out|-5.4|MYR|-5.4|MYR|Dinner mamak|||Cap|7
12/4/2018|Cash|Eating out|-2.7|MYR|-2.7|MYR|Breakfast (chipsmore) |||Car battery |2
12/4/2018|Cash|Eating out|-11.5|MYR|-11.5|MYR|Lunch (porridge) |||Car brake|1
13/04/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak|||Car charger|1
13/04/2018|Cash|Eating out|-6|MYR|-6|MYR|Lunch (wantan mee) |||Car seat cover|1
13/04/2018|Cash|Salary|270|MYR|270|MYR|Tuition (shuhui +books) |||Chair|1
14/04/2018|Cash|Eating out|-14|MYR|-14|MYR|Ice cream|||Chariofare|1
16/04/2018|Cash|Eating out|-7|MYR|-7|MYR|Lunch (zap fan) |||Chocolate|1
16/04/2018|Cash|Eating out|-15|MYR|-15|MYR|Dinner mcd|||Christmas (bball kids) |2
17/04/2018|Cash|Eating out|-11.4|MYR|-11.4|MYR|Lunch (mamak) |||Christmas (kv) |1
17/04/2018|Cash|Eating out|-8|MYR|-8|MYR|Dinner mamak|||Christmas lights |1
18/04/2018|Cash|Eating out|-29.9|MYR|-29.9|MYR|Dinner (sushi tei)|||Chromecast |1
18/04/2018|Cash|Medical|-28|MYR|-28|MYR|Deodorant|||Chun yong |1
18/04/2018|Cash|Eating out|-7.7|MYR|-7.7|MYR|Lunch (yeemee) |||Chun yong pt3 maths |1
19/04/2018|Cash|Eating out|-19|MYR|-19|MYR|Lunch (bak kut teh) |||Citta mall parking |1
20/04/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Cj|2
21/04/2018|Cash|Movie|-13.8|MYR|-13.8|MYR|Rampage popcorn|||Ck|1
21/04/2018|Cash|Car|-1.5|MYR|-1.5|MYR|Leisure mall parking |||Ck & Cz|1
22/04/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner (chee cheong fun) |||Cm owe|1
22/04/2018|Cash|Food|-2.5|MYR|-2.5|MYR|Bread|||Cny clothes |1
